 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 2.85290E+01 2.03927E+01 1.46086E+01 1.04961E+01 7.56380E+00 5.47318E+00
 3.97467E+00 2.89826E+00 2.12159E+00 1.55933E+00 1.14986E+00 8.51819E-01
 6.31389E-01 4.70021E-01 3.49763E-01 2.60842E-01 1.94575E-01 1.45124E-01
 1.08132E-01 8.04523E-02 5.97172E-02 4.42054E-02 3.26087E-02 2.39618E-02
 1.75259E-02 1.27559E-02 9.23213E-03 6.63909E-03 4.74934E-03 3.36699E-03
 2.36868E-03 1.65384E-03 1.14560E-03 7.87732E-04 5.37742E-04 3.64981E-04
 2.46553E-04 1.66240E-04 1.11977E-04 7.59305E-05 5.16846E-05 3.54785E-05
 2.45408E-05 1.70730E-05 1.18750E-05 8.19390E-06 5.54834E-06 3.63038E-06
 2.26230E-06 1.31163E-06 6.84806E-07 3.05810E-07 1.05959E-07 2.33136E-08
 1.85621E-09 0.00000E+00 1.04777E+05 1.03408E+05 7.99273E+04 6.17790E+04
 4.77519E+04 3.69101E+04 2.85302E+04 2.20531E+04 1.70469E+04 1.31774E+04
 1.01865E+04 7.87469E+03 6.08780E+03 4.70660E+03 3.63898E+03 2.81374E+03
 2.17582E+03 1.68271E+03 1.30151E+03 1.00682E+03 7.79002E+02 6.02867E+02
 4.66682E+02 3.61380E+02 2.79949E+02 2.16972E+02 1.68259E+02 1.30106E+02
 1.01063E+02 7.85824E+01 6.11758E+01 4.76930E+01 3.72446E+01 2.91646E+01
 2.28779E+01 1.79972E+01 1.42034E+01 1.12498E+01 8.94573E+00 7.14302E+00
 5.73031E+00 4.61728E+00 3.73698E+00 3.03733E+00 2.47828E+00 2.02907E+00
 1.66726E+00 1.37128E+00 1.13082E+00 9.32061E-01 7.68720E-01 6.33465E-01
 5.21171E-01 4.27775E-01 3.50034E-01 2.85337E-01 2.31559E-01 1.86952E-01
 1.50064E-01 1.19679E-01 9.47679E-02 7.44566E-02 5.79996E-02 4.48139E-02
 3.42221E-02 2.58457E-02 1.92852E-02 1.42014E-02 1.03079E-02 7.36449E-03
 5.17079E-03 3.56147E-03 2.40071E-03 1.57909E-03 1.01492E-03 6.31169E-04
